,fsq_id,name,distance,latitude,longitude,categories,city_bikes_ll
0,502e6bb9e4b0eed9c30f0e43,Bar de l'Hôtel Raphaël,662,48.862172,2.282686,Hotel Bar,"48.865983,2.275725"
1,4c549caf72cf0f472cc4d3d4,Au barbar,278,48.863712,2.27768,Bar,"48.865983,2.275725"
2,4b77f147f964a52097af2ee3,Saint-James Club,582,48.870457,2.279956,Hotel Bar,"48.865983,2.275725"
3,5ff3069fb907b733a9252835,Joe & The Juice,687,48.869255,2.283876,Dining and Drinking,"48.865983,2.275725"
4,535fdf29498ecab0a45b1d4e,Le Metropolitan Lounge Bar,530,48.865556,2.282755,Hotel Bar,"48.865983,2.275725"
5,5e5f92ba9f640c00072668ad,"Picadeli (Picadeli, bar à salades)",556,48.86099,2.275061,Salad Restaurant,"48.865983,2.275725"
6,4b93f8e1f964a520065e34e3,Sushi Man,461,48.866881,2.281836,Sushi Restaurant,"48.865983,2.275725"
7,5d7e62c5a406af0008c0d406,Le Barisien,741,48.867249,2.285502,"Bar, Restaurant","48.865983,2.275725"
8,4bbf1c2998f495213515d263,Sushi Shop,873,48.870674,2.285251,Sushi Restaurant,"48.865983,2.275725"
9,556c97b1498e9ace83a47893,Il Cottage,500,48.870761,2.275406,"Pizzeria, Italian Restaurant","48.865983,2.275725"
10,4fd21c85e4b08315f264bdd5,Dernier Bar Avant la Fin du Monde,696,48.857952,2.346294,"Bar, Vegan and Vegetarian Restaurant","48.85375581057431,2.3390958085656166"
11,4b4b2e69f964a520e29326e3,L'Express Bar,899,48.861118,2.343741,"Café, Coffee Shop, Pizzeria","48.85375581057431,2.3390958085656166"
12,4b22eca6f964a5206c5024e3,Prescription Cocktail Club,161,48.854987,2.337701,"Cocktail Bar, Lounge, Restaurant","48.85375581057431,2.3390958085656166"
13,4afd8300f964a5203a2822e3,L'Avant-Comptoir,191,48.852038,2.338828,"Wine Bar, Creperie","48.85375581057431,2.3390958085656166"
14,53568d3e498e92e5a3a56f36,Chez Nous,245,48.8559,2.340061,"Dive Bar, Wine Bar, Tapas Restaurant","48.85375581057431,2.3390958085656166"
15,58a58562ef787f21708c9ea0,La Robe & la Mousse,236,48.851773,2.339108,"Beer Bar, Coffee Shop, Restaurant","48.85375581057431,2.3390958085656166"
16,4e67b1d8fa76f38efb3aaa09,Compagnie des Vins Surnaturels,298,48.851613,2.336516,"Wine Bar, Restaurant","48.85375581057431,2.3390958085656166"
17,4f10b8bae4b0253d4bf5309e,Castor Club,315,48.851853,2.342425,"Cocktail Bar, Coffee Shop","48.85375581057431,2.3390958085656166"
18,5660a818498e87cb6fbcece5,Tiger,378,48.852194,2.334718,"Cocktail Bar, Restaurant","48.85375581057431,2.3390958085656166"
19,4d559605143ca0932c17b1fc,Ambassade de Bourgogne,267,48.851326,2.338837,Wine Store,"48.85375581057431,2.3390958085656166"
20,59777d70345cbe0ff50f5787,Martin Bar,297,48.868571,2.360907,"Cocktail Bar, Café, Coffee Shop","48.867872484749,2.3648982158072"
21,55ca636d498ec27381542a29,Gravity Bar,665,48.873303,2.360681,"Cocktail Bar, Lounge, Restaurant","48.867872484749,2.3648982158072"
22,612bd0ce473e824433b82c93,Musa Bar Paris,879,48.866304,2.376629,"Bar, Coffee Shop","48.867872484749,2.3648982158072"
23,4b396d38f964a5206e5c25e3,Cud Bar (Cud),873,48.861933,2.357139,"Gay Bar, Café, Coffee Shop","48.867872484749,2.3648982158072"
24,4b68a117f964a520c8832be3,Le Barav,326,48.865121,2.363202,"Wine Bar, Brasserie","48.867872484749,2.3648982158072"
25,5b3bb178ca18ea002c505d95,Bar Chope-Moi,323,48.864963,2.366031,"Bar, Coffee Shop, Restaurant","48.867872484749,2.3648982158072"
26,548c8b5c498eff940216227a,Restaurant Martin,352,48.864959,2.365943,"Wine Bar, Restaurant","48.867872484749,2.3648982158072"
27,5c17a53631fd14002c84aec1,The 46 Bar,339,48.868658,2.360358,"Bar, Coffee Shop, Fast Food Restaurant","48.867872484749,2.3648982158072"
28,55b121d7498ef435e79e61e4,Lavomatic,230,48.868551,2.361755,"Cocktail Bar, Speakeasy, Fast Food Restaurant","48.867872484749,2.3648982158072"
29,5079f1e0e4b0eb8b83f90b0d,Little Red Door,474,48.863669,2.363698,"Cocktail Bar, Speakeasy, Café","48.867872484749,2.3648982158072"
30,4b60b5acf964a5203ff529e3,Bar du Marché,321,48.853928,2.337145,"Bar, Café, Restaurant","48.856451985395786,2.334851883351803"
31,5c3235b08afbe0002dcd9eb3,Bar Joséphine,822,48.851285,2.327114,Cocktail Bar,"48.856451985395786,2.334851883351803"
32,4fd21c85e4b08315f264bdd5,Dernier Bar Avant la Fin du Monde,843,48.857952,2.346294,"Bar, Vegan and Vegetarian Restaurant","48.856451985395786,2.334851883351803"
33,4b4b2e69f964a520e29326e3,L'Express Bar,849,48.861118,2.343741,"Café, Coffee Shop, Pizzeria","48.856451985395786,2.334851883351803"
34,4b22eca6f964a5206c5024e3,Prescription Cocktail Club,278,48.854987,2.337701,"Cocktail Bar, Lounge, Restaurant","48.856451985395786,2.334851883351803"
35,53568d3e498e92e5a3a56f36,Chez Nous,402,48.8559,2.340061,"Dive Bar, Wine Bar, Tapas Restaurant","48.856451985395786,2.334851883351803"
36,5660a818498e87cb6fbcece5,Tiger,480,48.852194,2.334718,"Cocktail Bar, Restaurant","48.856451985395786,2.334851883351803"
37,4e67b1d8fa76f38efb3aaa09,Compagnie des Vins Surnaturels,535,48.851613,2.336516,"Wine Bar, Restaurant","48.856451985395786,2.334851883351803"
38,56f317d6498e5bfa690b3693,L'Arbane,268,48.855661,2.338195,"Cocktail Bar, Lounge, Restaurant","48.856451985395786,2.334851883351803"
39,4afd8300f964a5203a2822e3,L'Avant-Comptoir,569,48.852038,2.338828,"Wine Bar, Creperie","48.856451985395786,2.334851883351803"
40,5c6c0fa6c8b2fb002c4e8544,Mikkeller Bar Paris,590,48.878571,2.345377,Brewery,"48.87929591733507,2.3373600840568547"
41,552bcfc4498e003e2da33ad0,Bar à Bulles,685,48.8842,2.332266,"Bar, Burger Joint, Coffee Shop","48.87929591733507,2.3373600840568547"
42,4cc3459638aaa09353e10b62,Café Bar de Clermont,597,48.884594,2.336637,Bar,"48.87929591733507,2.3373600840568547"
43,59da6475d8fe7a28e011d4d0,L'intrépide bar,513,48.882916,2.332864,"Beer Bar, Dive Bar, Coffee Shop","48.87929591733507,2.3373600840568547"
44,4b4a4ccef964a520e98226e3,Tagada Bar,681,48.88532,2.339745,"Cocktail Bar, Dive Bar, Brasserie","48.87929591733507,2.3373600840568547"
45,4d9767b4c162530c571f00a4,The Terrass Bar,858,48.886519,2.333165,Hotel Bar,"48.87929591733507,2.3373600840568547"
46,4b113326f964a520cf7823e3,L'Hélice Bar,553,48.883586,2.341362,"Bar, French Restaurant","48.87929591733507,2.3373600840568547"
47,5c0c170c270ee7002cfc491d,228 Litres,226,48.880364,2.339837,Wine Bar,"48.87929591733507,2.3373600840568547"
48,55058555498efeb43b2df3fd,El Nopal Taqueria,308,48.881921,2.336564,Taco Restaurant,"48.87929591733507,2.3373600840568547"
49,57fd3a31498ed8c8594230b8,Les Apotres de Pigalle,415,48.882954,2.336502,"French Restaurant, Tapas Restaurant","48.87929591733507,2.3373600840568547"
50,5792a3ff498ea411967f3efb,Bar Mama Shelter,850,48.859945,2.402552,Lounge,"48.855907555969,2.3925706744194"
51,591c7bc5b23dfa408a85f89d,Bar & Beer Menilmontant,903,48.863368,2.387342,"Beer Bar, Sports Bar, Café","48.855907555969,2.3925706744194"
52,4bbb78099858d13af76133a2,L'Abribus,487,48.857298,2.399053,Restaurant,"48.855907555969,2.3925706744194"
53,4bbfa606461576b033ed7832,Piston Pélican,241,48.856836,2.395676,"Bar, Pizzeria, Brasserie","48.855907555969,2.3925706744194"
54,543eb4c3498ec28948bb1e7a,La Belle Équipe,785,48.853785,2.382128,"Bar, Café, Brasserie","48.855907555969,2.3925706744194"
55,4b157c60f964a52090ad23e3,Café Titon,563,48.852814,2.386441,"Café, Coffee Shop, German Restaurant","48.855907555969,2.3925706744194"
56,50edcbb9e4b0f4e820906b4e,Septime la Cave,926,48.853717,2.380453,Wine Store,"48.855907555969,2.3925706744194"
57,57f7ca4ccd10074b3ec13496,Bluebird,949,48.851265,2.381803,"Cocktail Bar, Café","48.855907555969,2.3925706744194"
58,4d5c34299c31b60c4345b2ee,Le Bouillon Belge,664,48.852081,2.399412,"Beer Bar, Belgian Restaurant, Brasserie","48.855907555969,2.3925706744194"
59,4b477ff1f964a520163426e3,Les Pères Populaires,874,48.851144,2.401852,"Bar, Fast Food Restaurant, Brasserie","48.855907555969,2.3925706744194"
60,564269aa498e9bfd23114837,Bar & Beer,176,48.837216,2.391594,"Beer Bar, Restaurant","48.840855311763,2.3875549435616"
61,5aa03eb4d033605844d89b37,Barracuda,502,48.844471,2.383614,"Bar, Coffee Shop, Restaurant","48.840855311763,2.3875549435616"
62,5637a8a4498ea3a0bf8c9c7c,American Express Live Bar,623,48.839452,2.379452,"Music Venue, Cocktail Bar, Lounge","48.840855311763,2.3875549435616"
