,name,rating,review_count,latitude,longitude,categories,location,city_bikes_ll
0,La Coïncidence,4.5,509,48.868105,2.284365,French,15 rue Mesnil,"48.865983,2.275725"
1,Le Poincaré,4.0,142,48.8650573,2.2865211,"French, Brasseries, Wine Bars",22 avenue Raymond Poincaré,"48.865983,2.275725"
2,L'Astrance,4.5,62,48.85844,2.28734,French,4 rue Beethoven,"48.865983,2.275725"
3,Crêperie Framboise Passy-Trocadéro,4.5,64,48.8588295,2.2850398999999997,"Creperies, Gluten-Free",10 bd Delessert,"48.865983,2.275725"
4,Girafe,3.5,93,48.862584000000005,2.2885815,"French, Seafood",1 place du Trocadéro,"48.865983,2.275725"
5,Sgabetti,4.5,39,48.865831,2.283666,Italian,15 rue Sablons,"48.865983,2.275725"
6,Hiramatsu,4.5,32,48.86507,2.2875099999999997,French,52 rue de Longchamp,"48.865983,2.275725"
7,Le Pergolèse,4.5,48,48.874390000000005,2.28289,French,40 rue Pergolèse,"48.865983,2.275725"
8,Frog XVI,3.5,86,48.864863,2.288216,Gastropubs,110 bis avenue Kléber,"48.865983,2.275725"
9,Bon,4.0,119,48.86018,2.2749799,"French, Pan Asian",25 rue de la Pompe,"48.865983,2.275725"
10,Le Stella,4.0,76,48.867555427657,2.2807048301161297,"French, Brasseries",133 avenue Victor Hugo,"48.865983,2.275725"
11,Le Petit Rétro,4.0,36,48.86885,2.2848,Bistros,5 Rue Mesnil,"48.865983,2.275725"
12,Musée Marmottan Monet,4.5,69,48.859139899999995,2.26755,Museums,2 rue Louis Boilly,"48.865983,2.275725"
13,Café de l'Homme,3.5,101,48.862204,2.287631,French,17 place du Trocadero,"48.865983,2.275725"
14,Corso,4.0,38,48.864897,2.289009,Italian,79 avenue Kléber,"48.865983,2.275725"
15,Schwartz's Deli,3.5,63,48.863781610496,2.2856212497981,"Burgers, American (Traditional)",7 avenue d'Eylau,"48.865983,2.275725"
16,Le Chalet,4.0,8,48.86289342,2.27634616,French,63 rue de la Pompe,"48.865983,2.275725"
17,Oum El Banine,3.5,7,48.86631,2.27326,Restaurants,16 Bis Rue Dufrenoy,"48.865983,2.275725"
18,Le Passy,4.0,22,48.85844,2.28409,"French, Brasseries",2 rue de Passy,"48.865983,2.275725"
19,LiLi,4.5,11,48.8655297161586,2.28901728987694,"Dim Sum, Cantonese",19 avenue Kléber,"48.865983,2.275725"
20,L'Avant Comptoir,4.5,647,48.85202,2.3388,"Tapas Bars, Wine Bars",3 carrefour de l'Odéon,"48.85375581057431,2.3390958085656166"
21,Semilla,4.0,105,48.85406,2.33691,"French, Brasseries",54 Rue Seine,"48.85375581057431,2.3390958085656166"
22,Chez Fernand,4.5,215,48.85461,2.33954,French,9 rue Christine,"48.85375581057431,2.3390958085656166"
23,Fish la Boissonnerie,4.5,134,48.85423,2.33699,"French, Bars, Modern European",69 rue de Seine,"48.85375581057431,2.3390958085656166"
24,Le Comptoir,4.0,447,48.851945700766,2.338757487651,Bistros,9 carrefour de l'Odeon,"48.85375581057431,2.3390958085656166"
25,Guy Savoy,4.5,83,48.857,2.3386999,French,Monnaie de Paris,"48.85375581057431,2.3390958085656166"
26,Le Procope,3.5,306,48.85303986886699,2.33873112110052,"French, Seafood",13 rue de l'Ancienne Comédie,"48.85375581057431,2.3390958085656166"
27,Ippudo Saint-Germain,4.0,112,48.853198,2.337687,Ramen,14 rue Grégoire de Tours,"48.85375581057431,2.3390958085656166"
28,Ze Kitchen Galerie,4.0,206,48.85502,2.3412099,"French, Pan Asian",4 rue des Grands Augustins,"48.85375581057431,2.3390958085656166"
29,Huguette,4.0,66,48.8532753282413,2.3370290000000002,Seafood,81 rue de Seine,"48.85375581057431,2.3390958085656166"
30,Le Christine,4.0,87,48.854343,2.340276,French,1 rue Christine,"48.85375581057431,2.3390958085656166"
31,L'Epigramme,4.5,34,48.852558,2.340719,French,9 rue de l'Eperon,"48.85375581057431,2.3390958085656166"
32,Fajitas,4.0,163,48.855580100000005,2.3400906000000004,Mexican,15 rue Dauphine,"48.85375581057431,2.3390958085656166"
33,Le Bistrot d'Henri,4.5,130,48.852067,2.334431,French,16 rue Princesse,"48.85375581057431,2.3390958085656166"
34,Les Antiquaires,4.5,429,48.8580664639432,2.3282369706709902,Bistros,13 rue du Bac,"48.85375581057431,2.3390958085656166"
35,Huitrerie Régis,4.5,94,48.852768,2.336005,Seafood,3 rue de Montfaucon,"48.85375581057431,2.3390958085656166"
36,Le Bistro du Périgord,4.5,366,48.849809220151904,2.34515282327701,Bistros,71 rue Saint-Jacques,"48.85375581057431,2.3390958085656166"
37,La Grande Cremerie,4.5,34,48.853398816452,2.33779953372959,"Wine Bars, French",8 rue Grégoire-de-Tours,"48.85375581057431,2.3390958085656166"
38,Kodawari Ramen,4.0,82,48.85467,2.33806,Ramen,29 rue Mazarine,"48.85375581057431,2.3390958085656166"
39,The Moose,4.0,230,48.8518,2.3377,"Restaurants, Sports Bars",16 rue des Quatre Vents,"48.85375581057431,2.3390958085656166"
40,L'Aller Retour,4.5,78,48.865353000000006,2.363151,"Wine Bars, Steakhouses",5 rue Charles François Dupuis,"48.867872484749,2.3648982158072"
41,Inaro,4.5,85,48.868423,2.361196,"Wine Bars, Tapas/Small Plates, Breakfast & Brunch",38 rue René Boulanger,"48.867872484749,2.3648982158072"
42,L'îlot,4.5,64,48.864784240722706,2.3633019924163796,Seafood,4 rue de la Corderie,"48.867872484749,2.3648982158072"
43,Les Parigots,4.0,79,48.86926,2.36183,"Bars, Brasseries",5 rue Château d'eau,"48.867872484749,2.3648982158072"
44,The Beast,4.0,86,48.86773,2.35969,"American (Traditional), Barbeque",27 rue Meslay,"48.867872484749,2.3648982158072"
45,Ossek Garden,4.0,95,48.86646,2.36816,Korean,14 rue Rampon,"48.867872484749,2.3648982158072"
46,Robert et Louise,4.0,345,48.859081,2.359435,"French, Steakhouses",64 rue Vieille du Temple,"48.867872484749,2.3648982158072"
47,Ober Mamma,4.5,292,48.86446,2.37018,"Pizza, Italian, Cocktail Bars",107 boulevard Richard Lenoir,"48.867872484749,2.3648982158072"
48,Chez Imogène,4.5,103,48.86545,2.36856,Creperies,25 rue Jean Pierre Timbaud,"48.867872484749,2.3648982158072"
49,Pain Vin Fromages,4.5,257,48.860525,2.3544389999999997,Fondue,3 rue Geoffroy-l'Angevin,"48.867872484749,2.3648982158072"
50,Lavomatic,4.0,77,48.868471963621595,2.36200138194357,"Cocktail Bars, Tapas/Small Plates, Wine Bars",30 rue René Boulanger,"48.867872484749,2.3648982158072"
51,Aux Péchés Normands,5.0,54,48.86813,2.3654,"Bakeries, Caterers, Patisserie/Cake Shop",9 rue du faubourg du Temple,"48.867872484749,2.3648982158072"
52,Siseng,4.5,161,48.872279999999996,2.3650599999999997,"Burgers, Pan Asian",82 quai de Jemmapes,"48.867872484749,2.3648982158072"
53,La Marine,3.5,132,48.870604,2.36533366888659,French,55bis quai de Valmy,"48.867872484749,2.3648982158072"
54,Umami Matcha Café,4.0,51,48.86654,2.36353,"Coffee & Tea, Breakfast & Brunch, Delicatessen",22 rue Béranger,"48.867872484749,2.3648982158072"
55,Co Ba Saigon,5.0,19,48.8659652,2.365558,Vietnamese,48 boulevard du Temple,"48.867872484749,2.3648982158072"
56,L'Epicerie Musicale,4.5,28,48.8706530985989,2.36546493890072,"Italian, Convenience Stores, Breakfast & Brunch",55 bis quai de Valmy,"48.867872484749,2.3648982158072"
57,Le Chateaubriand,4.0,258,48.86936,2.37133,French,129 avenue Parmentier,"48.867872484749,2.3648982158072"
58,Shake n' Smash,4.5,34,48.866808,2.361149,Cocktail Bars,87 rue de Turbigo,"48.867872484749,2.3648982158072"
59,Blue Valentine,4.5,29,48.867432,2.370238,French,13 rue de la Pierre Levée,"48.867872484749,2.3648982158072"
60,Le Comptoir de la Gastronomie,4.5,1228,48.8645157999652,2.34540185646608,French,34 rue Montmartre,"48.856451985395786,2.334851883351803"
63,Le Calife,4.5,95,48.858320500000005,2.3346584,French,Port des Saints Pères,"48.856451985395786,2.334851883351803"
64,Le Relais de l'Entrecôte,4.0,485,48.854690000000005,2.3329,Steakhouses,20 rue Saint Benoît,"48.856451985395786,2.334851883351803"
66,Galette Café,4.5,113,48.856429999999996,2.33153,Creperies,2 rue de l'Université,"48.856451985395786,2.334851883351803"
71,L'Atelier de Joël Robuchon,4.0,396,48.8568107229545,2.32785068883627,"French, Modern European",5 rue de Montalembert,"48.856451985395786,2.334851883351803"
72,Le Restaurant,4.5,36,48.85635,2.33524,"French, Breakfast & Brunch",13 rue des Beaux-Arts,"48.856451985395786,2.334851883351803"
73,Eggs & Co,4.5,381,48.853123,2.331244,Breakfast & Brunch,11 rue Bernard Palissy,"48.856451985395786,2.334851883351803"
74,Chez Papa Jazz Club,4.5,47,48.8553886,2.3334401000000002,"Jazz & Blues, French",3 rue Saint-Benoît,"48.856451985395786,2.334851883351803"
75,Café Louise,4.0,102,48.853878376742,2.3321086257314,"Cafes, Brasseries",155 bd Saint Germain,"48.856451985395786,2.334851883351803"
76,Au Pied de Fouet,4.0,71,48.85542,2.33333,French,3 rue Saint Benoît,"48.856451985395786,2.334851883351803"
78,Ladurée,4.0,314,48.855596899999995,2.334102,"Tea Rooms, Macarons, Patisserie/Cake Shop",21 rue Bonaparte,"48.856451985395786,2.334851883351803"
79,La Palette,3.0,94,48.855432,2.336862,French,43 rue de Seine,"48.856451985395786,2.334851883351803"
80,Le Petit Canard,4.5,201,48.880165999999996,2.337314,French,19 rue Henri Monnier,"48.87929591733507,2.3373600840568547"
81,Pink Mamma,4.0,310,48.88187,2.3346,"Steakhouses, Barbeque, Italian",20 bis rue de Douai,"48.87929591733507,2.3373600840568547"
