,name_x,rating,review_count,latitude_x,longitude_x,categories,location,city_bikes_ll,latitude_y,longitude_y,name_y,free_bikes,empty_slots,extra.uid,Total_slots,Station_usage_percentage
0,La Coïncidence,4.5,509,48.868105,2.284365,French,15 rue Mesnil,"48.865983,2.275725",48.865983,2.275725,Benjamin Godard - Victor Hugo,5,30,16107,35,85.71428571428571
1,Le Poincaré,4.0,142,48.8650573,2.2865211,"French, Brasseries, Wine Bars",22 avenue Raymond Poincaré,"48.865983,2.275725",48.865983,2.275725,Benjamin Godard - Victor Hugo,5,30,16107,35,85.71428571428571
2,L'Astrance,4.5,62,48.85844,2.28734,French,4 rue Beethoven,"48.865983,2.275725",48.865983,2.275725,Benjamin Godard - Victor Hugo,5,30,16107,35,85.71428571428571
3,Crêperie Framboise Passy-Trocadéro,4.5,64,48.8588295,2.2850399,"Creperies, Gluten-Free",10 bd Delessert,"48.865983,2.275725",48.865983,2.275725,Benjamin Godard - Victor Hugo,5,30,16107,35,85.71428571428571
4,Girafe,3.5,93,48.86258400000001,2.2885815,"French, Seafood",1 place du Trocadéro,"48.865983,2.275725",48.865983,2.275725,Benjamin Godard - Victor Hugo,5,30,16107,35,85.71428571428571
5,Sgabetti,4.5,39,48.865831,2.283666,Italian,15 rue Sablons,"48.865983,2.275725",48.865983,2.275725,Benjamin Godard - Victor Hugo,5,30,16107,35,85.71428571428571
6,Hiramatsu,4.5,32,48.86507,2.28751,French,52 rue de Longchamp,"48.865983,2.275725",48.865983,2.275725,Benjamin Godard - Victor Hugo,5,30,16107,35,85.71428571428571
7,Le Pergolèse,4.5,48,48.87439000000001,2.28289,French,40 rue Pergolèse,"48.865983,2.275725",48.865983,2.275725,Benjamin Godard - Victor Hugo,5,30,16107,35,85.71428571428571
8,Frog XVI,3.5,86,48.864863,2.288216,Gastropubs,110 bis avenue Kléber,"48.865983,2.275725",48.865983,2.275725,Benjamin Godard - Victor Hugo,5,30,16107,35,85.71428571428571
9,Bon,4.0,119,48.86018,2.2749799,"French, Pan Asian",25 rue de la Pompe,"48.865983,2.275725",48.865983,2.275725,Benjamin Godard - Victor Hugo,5,30,16107,35,85.71428571428571
10,Le Stella,4.0,76,48.867555427657,2.2807048301161297,"French, Brasseries",133 avenue Victor Hugo,"48.865983,2.275725",48.865983,2.275725,Benjamin Godard - Victor Hugo,5,30,16107,35,85.71428571428571
11,Le Petit Rétro,4.0,36,48.86885,2.2848,Bistros,5 Rue Mesnil,"48.865983,2.275725",48.865983,2.275725,Benjamin Godard - Victor Hugo,5,30,16107,35,85.71428571428571
12,Musée Marmottan Monet,4.5,69,48.8591399,2.26755,Museums,2 rue Louis Boilly,"48.865983,2.275725",48.865983,2.275725,Benjamin Godard - Victor Hugo,5,30,16107,35,85.71428571428571
13,Café de l'Homme,3.5,101,48.862204,2.287631,French,17 place du Trocadero,"48.865983,2.275725",48.865983,2.275725,Benjamin Godard - Victor Hugo,5,30,16107,35,85.71428571428571
14,Corso,4.0,38,48.864897,2.289009,Italian,79 avenue Kléber,"48.865983,2.275725",48.865983,2.275725,Benjamin Godard - Victor Hugo,5,30,16107,35,85.71428571428571
15,Schwartz's Deli,3.5,63,48.863781610496,2.2856212497981,"Burgers, American (Traditional)",7 avenue d'Eylau,"48.865983,2.275725",48.865983,2.275725,Benjamin Godard - Victor Hugo,5,30,16107,35,85.71428571428571
16,Le Chalet,4.0,8,48.86289342,2.27634616,French,63 rue de la Pompe,"48.865983,2.275725",48.865983,2.275725,Benjamin Godard - Victor Hugo,5,30,16107,35,85.71428571428571
17,Oum El Banine,3.5,7,48.86631,2.27326,Restaurants,16 Bis Rue Dufrenoy,"48.865983,2.275725",48.865983,2.275725,Benjamin Godard - Victor Hugo,5,30,16107,35,85.71428571428571
18,Le Passy,4.0,22,48.85844,2.28409,"French, Brasseries",2 rue de Passy,"48.865983,2.275725",48.865983,2.275725,Benjamin Godard - Victor Hugo,5,30,16107,35,85.71428571428571
19,LiLi,4.5,11,48.8655297161586,2.28901728987694,"Dim Sum, Cantonese",19 avenue Kléber,"48.865983,2.275725",48.865983,2.275725,Benjamin Godard - Victor Hugo,5,30,16107,35,85.71428571428571
